time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.18642564878e-05,8.91614104522e-06,10.0033103214,0.00202692306946,0.00335820573807,0.0,-0.000723610815835,0.000524511942329,0.110338494804,-0.0168419195111,0.0189103394958,0.0,438.82959519304694,440.3961604216881,441.41765558278024,440.0259599020316
0.12000000000000001,-0.000175495870223,0.000110612011578,10.0186127001,0.00584537647698,0.0102711835343,0.0,-0.00559697635723,0.00333199129841,0.399677992336,0.00606029772332,0.0440701022852,0.0,492.1052720142872,493.96396375953293,492.86147663462344,494.5510498500086
0.18,-0.000740872345352,0.000439039525706,10.0460713959,0.00694202328487,0.0135774863264,0.0,-0.0135853526124,0.00774084774503,0.515561458582,-0.00459498182219,0.0518638529785,0.0,441.8600091456586,442.50326822385404,442.4899394566629,441.6119984215461
0.23999999999999996,-0.00187234415201,0.00107530155369,10.0815796781,0.0115552199887,0.0169740252598,0.0,-0.0245100183797,0.0139482832201,0.667960953801,0.0184559863629,0.0446965325873,0.0,453.8469314051913,453.27286743691303,452.62222114071784,454.4732483042542
0.3,-0.00372781778058,0.0021773455968,10.125949988,0.014608741165,0.0200727409795,0.0,-0.0376669201887,0.0231009422978,0.810948219837,0.0325849419343,0.0506706360476,0.0,450.09223329039787,450.576670289929,450.8286811325552,451.9687456991954
0.36000000000000004,-0.00655679634533,0.00394026730023,10.1821153223,0.0165543843421,0.0342906340718,0.0,-0.0583506801137,0.0359032946981,1.06098417114,0.0308316564655,0.0861139488489,0.0,481.10526901936015,483.783620759776,483.53721281392984,483.4054154451861
0.4200000000000001,-0.0110550558032,0.00657493910714,10.256388823,0.0190494151749,0.0395047441039,0.0,-0.0923038403191,0.0522496539001,1.41439720987,0.0385115988978,0.087580632598,0.0,512.0805797798308,512.1899998920264,512.3088880913903,512.8548833124646
0.48000000000000015,-0.017587886273,0.0101963756107,10.3479886041,0.02413576098,0.0463785979048,0.0,-0.126257580388,0.0690499749599,1.63858580908,0.055601209426,0.100370166987,0.0,475.85535950021995,476.8397869108197,476.74150270442993,478.0463551219111
0.5400000000000001,-0.0262326603237,0.0148775627724,10.4502944573,0.0278966672691,0.0628814813488,0.0,-0.163619561424,0.087393041383,1.77130804148,0.0471606889418,0.134653551595,0.0,448.52418064624686,451.3106727375047,450.75240860459894,450.07162713717787
0.6000000000000002,-0.0371913772551,0.0206229532981,10.5565689685,0.0307271881491,0.0716622524236,0.0,-0.202446118906,0.104364850306,1.7711119923,0.0472038792657,0.124199093909,0.0,408.1454242375555,407.2288796183206,407.5362418691868,407.54165999301927
0.6600000000000003,-0.0507118140217,0.0274802145827,10.6639375754,0.0364288861189,0.0791027765744,0.0,-0.248921637957,0.124718621569,1.80770830042,0.0645986396281,0.123265438696,0.0,420.5624889343225,420.4965044079052,419.05637286167524,420.56765501002303
0.7200000000000003,-0.0673241067815,0.0357343270793,10.7753783205,0.0415926830677,0.0896751851702,0.0,-0.305867815632,0.150922808361,1.90670382421,0.0758876770807,0.141625254923,0.0,439.44446003445603,440.9791355660254,440.80390314166544,441.7393196953953
0.7800000000000004,-0.0878186810517,0.0457957080392,10.8954174036,0.0497551654674,0.100292106372,0.0,-0.378459402702,0.185400013478,2.09410029924,0.0538414617269,0.156417122377,0.0,467.57000935784015,468.73982302146,469.83231422305767,468.123350157864
0.8400000000000004,-0.1129001466,0.058090708535,11.0265333791,0.0541189795588,0.110177295125,0.0,-0.458675961054,0.224920594715,2.27592020115,0.0409177121739,0.163055828151,0.0,468.16355622701496,468.70224136733634,467.94100356787715,466.9353388176073
0.9000000000000005,-0.142733436612,0.0727133161083,11.1659482484,0.0581698385393,0.119948685982,0.0,-0.536737717349,0.262905652661,2.37088426342,0.0258273903334,0.1619416322,0.0,442.0590007454618,441.9925501918239,443.0932607956019,441.8515807238106
0.9600000000000005,-0.177839111761,0.0898535429534,11.3137459396,0.0614837294812,0.142868389759,0.0,-0.635982177649,0.308785361996,2.55490896684,0.0100276677247,0.200562884673,0.0,469.4179400264179,472.4328967188508,470.85139659370196,469.6274994032355
1.0200000000000005,-0.219167183566,0.109724017766,11.4710077372,0.0650207166546,0.154891791413,0.0,-0.742860833336,0.35388651426,2.68658358852,0.0276339941905,0.198915806667,0.0,456.7423075512481,456.6489348010152,455.09852279403754,456.5054845838495
1.0800000000000005,-0.267437222098,0.132477228604,11.6378002361,0.0666667600186,0.167483368837,0.0,-0.867503205778,0.40469214457,2.87240273126,0.0264608293178,0.206672048087,0.0,474.3464912610027,474.97868389166194,473.2253373708867,473.1351522091489
1.1400000000000006,-0.322965104853,0.158112853045,11.812692025,0.0684351749529,0.179871685519,0.0,-0.984624353878,0.44997378401,2.95680445853,0.0204511486234,0.205521751544,0.0,444.78721625460986,444.7347931113781,443.9422593805225,443.44895549770433
1.2000000000000006,-0.385724054875,0.186476257919,11.9921093966,0.074130484144,0.203924104921,0.0,-1.10959893205,0.495951285616,3.02301953875,0.0424378546539,0.241843254416,0.0,438.72662360099787,441.7793810390762,438.25161892510283,440.0756072486244
1.2600000000000007,-0.456177068943,0.217600840136,12.1741607308,0.0768190440726,0.223078858419,0.0,-1.24052705078,0.5417383109,3.04480012718,0.0369347123649,0.264279260953,0.0,426.10115319911534,428.0799192361855,426.5884331914535,426.1191775121404
